,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,C051,C052,C053,C054,C055,C056,C057,C058,C059,C060,C061,C062,C063,C064,C065,C066,C067,C068,C069,C070,C071,C072,C073,C074,C075,C076,C077,C078,C079,C080,C081,C082,C083,C084,C085,C086,C087,C088,C089,C090,C091,C092,C093,C094,C095,C096,C097,C098,C099,C100,C101,C102,C103,C104,C105,C106,C107,C108,C109,C110,C111,C112,C113,C114,C115,C116,C117,C118,C119,C120,C121,C122,C123,C124,C125,C126,C127,C128,C129,C130,C131,C132,C133,C134,C135,C136,C137,C138,C139,C140,C141,C142,C143,C144,C145,C146,C147,C148,C149,C150,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
C093,1235.8,1867.0,1670.6,1890.9,1761.4,1802.9,1387.7,914.6,1517.3,862.4,857.4,1330.4,1644.9,1396.8,1115.8,1437.4,1156.8,1436.0,1445.3,1835.5,1051.1,1494.8,1046.1,1122.0,1214.9,1418.8,1248.2,1366.7,837.4,1306.9,1016.9,2625.1,1478.0,803.1,825.3,1331.8,130.8,1677.9,1122.1,1474.8,1511.8,1228.6,831.7,1090.4,1441.9,1284.8,1088.8,821.3,542.3,939.0,2013.8,1863.1,2123.1,1329.0,2750.1,835.0,1067.5,1018.4,374.9,2118.9,1637.6,954.9,224.1,1606.8,1758.0,1153.8,2039.3,851.1,1113.5,960.4,1979.2,2394.8,1464.6,1299.2,810.7,1272.9,1685.6,1201.8,1360.4,1003.9,1683.6,1296.7,1669.8,1445.3,1461.5,2365.0,1793.8,842.1,1898.8,67.9,1051.7,1681.6,317.2,0.0,1788.4,836.3,1256.7,1859.4,1226.5,1505.4,1382.4,570.8,2342.5,251.9,790.6,1794.6,1456.0,1147.6,1797.5,1687.9,1683.6,908.3,1314.4,1615.8,861.6,1903.0,812.2,654.7,1745.6,1593.6,172.0,1587.2,1733.9,2356.6,1769.9,2349.9,1962.3,1713.2,361.9,103.1,1491.7,1691.6,1737.6,735.2,1782.2,889.6,1540.6,208.7,1956.1,1928.2,1475.2,1231.7,1950.3,1664.5,1253.4,1590.1,1616.3,748.5,1683.3,981.5,1343.5,875.5,1379.8,1353.2,1873.1,1448.4,1994.2,550.6,1757.0,2360.7,889.2,869.7,2723.1,1655.2,1460.9,1225.9,1650.0,1867.7,1322.2,1658.2,1632.1,1348.0,1888.5,899.8,2386.7,1299.7,1944.4,973.1,988.0,1799.3,1693.4
C094,704.4,548.8,937.0,1728.1,947.3,622.1,1111.6,2370.0,545.7,1250.8,1123.3,1230.1,918.4,679.7,1063.6,600.5,751.4,854.2,1568.2,47.1,882.3,888.8,2501.5,1028.9,784.2,864.4,710.5,710.3,1203.2,814.3,1299.4,1956.6,1144.5,1238.7,1372.3,927.3,1766.5,911.4,937.8,742.5,963.3,799.4,1320.3,844.4,603.0,710.5,2544.2,1222.8,1860.2,2135.4,660.2,490.1,813.7,614.8,2081.6,1209.1,885.7,815.2,1935.5,1450.4,634.7,900.7,1858.4,618.8,358.6,1090.0,1370.8,1215.6,762.7,1064.4,727.0,1726.3,849.6,710.7,1176.5,679.8,730.5,1025.5,738.2,1357.4,502.8,910.0,593.6,892.9,583.8,1696.5,420.8,1415.9,786.6,1805.7,817.7,955.1,1678.0,1799.6,0.0,1375.9,705.5,503.8,693.7,783.4,850.0,1767.2,1674.0,1785.0,2246.0,1057.2,662.3,1083.8,628.4,585.6,328.0,949.8,939.7,873.4,1259.6,530.0,1286.6,1441.0,564.8,325.9,1913.1,582.6,343.3,1688.1,771.1,1681.4,712.0,780.0,1722.7,1776.6,783.2,818.5,695.0,1439.3,391.6,1348.1,1075.9,1686.8,1597.7,1190.8,714.3,1079.1,787.2,1035.9,1167.4,585.4,802.3,1322.4,542.1,1507.0,927.7,1240.0,817.1,607.1,1651.4,772.1,1325.7,1747.0,566.4,1692.2,1319.7,1318.2,2054.6,655.6,641.3,2681.3,727.2,512.1,864.1,785.1,548.6,669.1,1730.5,1322.1,1718.2,1008.6,1615.7,2428.5,1334.3,10.9,441.2
C095,787.4,1194.6,988.2,1948.2,1079.0,1130.5,705.3,1412.9,1068.9,303.4,273.5,648.0,962.5,948.4,433.4,989.0,708.4,820.9,732.6,1387.1,608.1,812.4,1544.4,439.6,723.2,736.4,799.8,918.3,253.5,858.5,334.5,2176.7,795.6,241.8,66.1,883.4,809.4,995.5,680.1,792.4,829.4,780.2,303.6,642.0,993.5,836.4,1587.1,400.4,903.1,1178.3,1331.4,1413.7,1440.7,880.6,2301.7,386.7,587.3,570.0,978.4,1670.5,1189.2,511.1,901.3,1065.4,1309.6,471.4,1590.9,637.3,665.1,658.6,1530.8,1946.4,782.2,850.8,226.8,824.5,1237.2,519.4,912.0,535.0,1011.2,614.3,1221.4,762.9,1013.1,1916.6,1345.4,54.8,1216.4,848.6,603.3,999.2,720.9,842.5,1340.0,0.0,808.3,1230.4,778.1,880.2,700.0,810.1,1894.1,827.9,1288.9,1112.2,1007.6,465.2,1115.1,1023.5,1235.2,478.7,632.0,933.4,270.8,1378.8,525.0,440.9,1073.2,1137.3,956.0,1138.8,1285.5,1908.2,1087.5,1901.5,1279.9,1030.8,765.6,819.5,866.5,1009.2,1055.2,186.0,1333.8,151.3,858.2,729.7,1817.8,1245.8,792.8,549.3,1267.9,982.1,571.0,1141.7,933.9,451.5,1047.0,153.4,661.1,661.7,824.1,904.8,1871.5,823.2,1545.8,789.9,1308.6,1912.3,176.5,180.1,2274.7,972.8,1012.5,1724.2,967.6,1253.6,639.8,975.8,949.7,899.6,1950.6,194.7,1938.3,617.3,1835.8,1471.4,254.2,1350.9,1245.0
C096,172.3,691.8,864.1,1279.7,874.4,627.7,967.3,1820.7,342.1,701.5,574.0,973.0,845.5,184.7,565.4,188.0,221.2,467.4,1016.1,660.3,333.0,815.9,1952.2,551.4,222.9,791.5,177.8,240.1,653.9,357.5,747.3,1508.2,1021.4,689.4,823.0,470.5,1217.2,838.5,442.0,669.6,890.4,329.2,771.0,277.6,199.0,145.2,1994.9,673.5,1310.9,1586.1,844.7,687.9,1011.5,79.3,1633.2,659.8,338.3,265.9,1386.2,1002.0,462.4,351.4,1309.1,401.5,582.8,655.6,922.4,666.3,201.4,532.3,804.0,1277.9,776.7,193.5,627.2,75.4,436.2,631.2,260.4,808.1,508.4,510.6,494.6,820.0,212.1,1248.1,618.6,866.6,857.8,1256.4,268.4,882.2,1128.7,1250.3,613.2,826.6,0.0,684.2,132.4,626.0,735.8,1217.9,1225.6,1235.7,1696.7,984.3,213.9,649.4,634.0,512.7,508.4,400.5,848.0,800.5,717.7,727.8,737.3,891.7,570.4,418.4,1363.8,342.7,558.7,1239.7,698.2,1233.0,904.7,707.1,1173.4,1227.3,612.3,745.6,668.2,890.0,607.0,815.2,1003.0,1137.5,1149.3,1117.9,641.4,586.2,909.3,963.0,890.9,355.8,729.4,773.1,508.1,974.1,711.1,690.7,359.7,131.3,1203.0,569.0,877.3,1197.7,581.8,1243.8,778.8,768.9,1606.2,582.7,247.1,2132.0,654.3,692.5,629.2,712.2,475.7,170.2,1282.1,785.7,1269.8,715.5,1167.3,1879.2,801.4,624.1,518.2
C097,739.3,143.1,667.0,1763.0,677.3,237.3,893.3,2404.9,523.8,1185.2,1125.1,1011.6,648.4,658.4,840.4,635.1,786.3,651.4,1345.0,556.6,917.2,592.2,2536.4,805.7,794.2,624.9,745.4,745.2,1205.0,806.1,1076.2,1991.5,926.2,1147.9,1160.0,919.1,1801.4,641.4,955.0,524.2,678.5,834.3,1322.1,879.3,637.9,728.2,2579.1,1216.0,1895.1,2170.3,333.0,351.0,618.5,649.7,2116.5,1202.3,890.4,850.1,1970.4,1485.3,608.4,935.6,1893.3,493.4,653.5,866.8,1405.7,1250.5,797.6,1099.3,985.7,1761.2,553.0,745.6,1178.3,714.7,704.2,802.3,734.1,1350.6,233.3,686.8,640.6,608.1,618.7,1731.4,323.6,1241.8,463.5,1840.6,852.6,685.1,1712.9,1834.5,509.5,1201.8,740.4,0.0,724.4,560.2,631.7,1802.1,1708.9,1819.9,2280.9,787.2,636.0,860.6,243.6,315.6,242.0,984.7,703.1,588.6,1158.4,316.1,1321.5,1428.5,176.7,288.6,1948.0,556.3,482.5,1723.0,459.9,1716.3,388.9,488.5,1757.6,1811.5,560.0,548.5,310.2,1257.8,530.8,1124.9,791.1,1721.7,1632.6,920.8,496.0,855.9,464.1,765.9,949.1,559.1,469.6,1340.9,341.3,1283.8,709.4,1274.9,614.3,642.0,1686.3,548.9,1360.6,1781.9,736.7,1727.1,1096.5,1148.3,2089.5,370.8,615.0,2716.2,434.7,127.8,640.9,515.1,304.1,704.0,1765.4,1098.9,1753.1,785.4,1650.6,2463.4,1111.1,520.4,699.9
C098,150.0,769.5,941.8,1357.4,952.1,705.4,924.3,1822.4,419.8,689.8,575.7,930.0,923.2,262.4,522.4,264.6,198.9,448.4,977.2,738.0,334.7,879.8,1953.9,508.4,224.6,811.1,160.7,324.0,655.6,435.2,708.4,1585.9,993.1,677.7,811.4,548.2,1218.9,916.2,459.0,747.3,953.1,365.7,772.7,294.6,275.6,62.0,1996.6,675.2,1312.6,1587.8,922.4,765.6,1089.2,155.9,1710.9,661.5,340.0,267.6,1387.9,1079.7,540.1,353.1,1310.8,443.5,660.5,612.6,1000.1,668.0,203.1,510.0,881.7,1355.6,849.6,254.6,628.9,126.9,512.8,588.2,338.1,809.8,586.1,467.6,572.3,881.7,288.7,1325.8,696.3,868.3,935.5,1258.1,270.1,959.9,1130.4,1252.0,690.9,828.3,92.3,761.9,0.0,607.0,707.5,1219.6,1303.3,1237.4,1698.4,1062.0,291.6,606.4,711.7,590.4,586.1,402.2,819.7,878.2,692.6,805.5,739.0,893.4,648.1,496.1,1365.5,419.3,636.4,1317.4,775.9,1310.7,982.4,784.8,1175.1,1229.0,593.3,823.3,745.9,891.7,684.7,776.3,1002.2,1139.2,1227.0,1195.6,719.1,543.2,987.0,1040.7,847.9,432.4,807.1,774.8,585.8,935.2,668.1,692.4,335.6,209.0,1280.7,550.0,955.0,1199.4,659.5,1321.5,747.9,757.2,1683.9,660.4,324.8,2133.7,732.0,770.2,586.2,789.9,553.4,254.1,1359.8,750.3,1347.5,672.5,1245.0,1880.9,762.5,701.8,595.9
C099,658.5,533.8,714.1,1816.6,724.4,469.7,655.4,2026.8,571.6,759.5,699.4,773.7,695.5,706.2,498.6,682.9,707.4,225.4,1003.2,751.6,725.5,575.0,2158.3,463.9,459.4,506.3,675.7,799.0,779.3,853.9,734.4,2045.1,688.3,747.4,818.2,966.9,1423.3,688.5,932.2,470.8,648.3,882.9,896.4,789.5,671.9,555.9,2201.0,790.3,1517.0,1792.2,686.7,769.0,1036.5,599.1,2170.1,776.6,555.6,661.4,1592.3,1538.9,656.2,743.1,1515.2,405.6,825.3,525.0,1459.3,972.5,614.3,949.6,1083.8,1814.8,544.8,763.1,752.6,662.8,752.0,460.5,781.9,924.9,350.4,329.9,688.4,576.9,672.5,1785.0,709.9,900.0,707.8,1462.5,663.9,732.2,1334.8,1456.4,704.5,860.0,608.3,569.6,550.5,0.0,402.7,1424.0,1762.5,1441.8,1902.8,834.3,683.8,518.8,476.0,362.7,599.7,793.9,514.9,650.5,762.3,734.1,961.7,1017.1,412.4,476.5,1569.9,604.1,650.0,1776.6,548.2,1769.9,746.7,557.1,1379.5,1433.4,85.9,595.6,518.2,916.0,698.3,783.1,697.4,1343.6,1686.2,967.9,413.0,514.1,759.3,813.0,711.2,606.9,579.4,915.2,384.9,942.0,418.1,996.9,346.1,695.8,1739.9,117.9,1414.2,1403.8,784.5,1780.7,754.7,806.5,2143.1,432.7,662.8,2338.1,504.3,592.8,299.1,562.2,313.2,757.8,1819.0,757.1,1806.7,443.6,1704.2,2085.3,769.3,715.4,798.0
C100,746.4,600.3,461.8,1878.3,542.0,489.1,302.6,1895.1,633.3,661.8,682.2,421.1,405.5,767.9,362.3,744.6,795.3,321.5,836.4,813.3,810.3,210.4,2026.6,304.0,547.3,110.7,763.6,860.7,705.4,915.6,553.5,2106.8,335.5,604.8,616.9,1028.6,1291.6,438.5,1017.5,142.2,283.7,944.6,801.1,883.5,753.4,653.9,2069.3,773.1,1385.3,1660.5,721.0,803.3,844.7,703.3,2231.8,759.4,619.5,756.7,1460.6,1600.6,717.9,774.4,1383.5,581.7,887.0,316.9,1521.0,994.7,709.6,996.0,1145.5,1876.5,169.3,851.0,678.7,763.2,813.7,243.7,843.6,907.7,418.0,270.3,750.1,212.3,734.2,1846.7,771.6,698.7,620.4,1330.8,759.2,442.2,1203.1,1324.7,766.2,658.7,696.2,636.1,638.4,380.8,0.0,1292.3,1824.2,1310.1,1771.1,585.8,745.5,323.1,488.1,403.0,661.4,816.1,150.3,337.4,615.3,768.4,978.4,885.4,458.3,584.1,1438.2,665.8,711.7,1838.3,491.5,1831.6,683.9,434.8,1247.8,1301.7,367.1,413.2,459.2,714.7,760.0,581.8,332.8,1211.9,1747.9,719.4,134.4,386.4,671.9,455.7,358.4,668.6,321.0,898.0,512.3,740.7,110.3,1019.1,457.3,757.5,1801.6,323.8,1475.9,1272.1,846.2,1842.4,553.4,605.2,2204.8,376.8,724.5,2206.4,372.1,659.3,196.8,379.8,345.1,819.5,1880.7,555.8,1868.4,237.3,1765.9,1953.6,568.0,777.1,859.7
C101,1175.6,1806.8,1610.4,2052.1,1701.2,1742.7,1327.5,1075.8,1457.1,802.2,797.2,1270.2,1584.7,1336.6,1055.6,1377.2,1096.6,1375.8,1385.1,1775.3,990.9,1434.6,1207.3,1061.8,1154.7,1358.6,1188.0,1306.5,777.2,1246.7,956.7,2564.9,1417.8,742.9,765.1,1271.6,472.3,1617.7,1061.9,1414.6,1451.6,1168.4,771.5,1030.2,1381.7,1224.6,1250.0,761.1,450.0,368.2,1953.6,1802.9,2062.9,1268.8,2689.9,774.8,1007.3,958.2,641.3,2058.7,1577.4,894.7,564.2,1546.6,1697.8,1093.6,1979.1,790.9,1053.3,900.2,1919.0,2334.6,1404.4,1239.0,750.5,1212.7,1625.4,1141.6,1300.2,943.7,1623.4,1236.5,1609.6,1385.1,1401.3,2304.8,1733.6,781.9,1838.6,511.5,991.5,1621.4,342.4,505.4,1728.2,776.1,1196.5,1799.2,1166.3,1445.2,1322.2,0.0,2282.3,490.8,951.8,1734.4,1395.8,1087.4,1737.3,1627.7,1623.4,848.1,1254.2,1555.6,801.4,1842.8,752.0,594.5,1685.4,1533.4,586.3,1527.0,1673.7,2296.4,1709.7,2289.7,1902.1,1653.0,387.1,482.4,1431.5,1631.4,1677.4,675.0,1722.0,829.4,1480.4,392.6,2117.3,1868.0,1415.0,1171.5,1890.1,1604.3,1193.2,1529.9,1556.1,688.3,1623.1,921.3,1283.3,815.3,1319.6,1293.0,2034.3,1388.2,1934.0,20.2,1696.8,2300.5,829.0,809.5,2662.9,1595.0,1400.7,1387.1,1589.8,1807.5,1262.0,1598.0,1571.9,1287.8,2049.7,839.6,2326.5,1239.5,2105.6,1134.3,927.8,1739.1,1633.2
C102,1306.6,1743.2,1915.5,1027.9,1925.8,1679.1,2090.1,2654.0,1362.5,1833.8,1697.2,2136.5,1896.9,1122.3,1728.9,1289.7,1306.1,1658.6,2179.6,1711.7,1484.5,1867.3,2785.5,1714.9,1386.4,1842.9,1312.7,1241.6,1777.1,1188.8,1910.8,927.5,2123.0,1840.9,1946.2,1238.9,2340.4,1889.9,1333.6,1721.0,1941.8,1242.0,1894.2,1372.1,1314.5,1312.7,2828.2,1796.7,2434.1,2709.3,1896.1,1739.3,2062.9,1254.7,1052.5,1783.0,1487.9,1417.4,2509.4,309.4,1467.9,1502.9,2432.3,1521.9,1634.2,1819.1,434.3,1789.5,1364.9,1496.5,1855.4,176.3,1828.1,1265.4,1750.4,1265.7,1456.7,1794.7,1141.0,1931.3,1559.8,1674.1,1500.1,1871.4,1313.8,22.5,1670.0,1989.8,1909.2,2379.6,1419.9,1933.6,2251.9,2373.5,1664.6,1949.8,1260.6,1735.6,1295.9,1762.7,1828.5,2341.1,0.0,2358.9,2530.0,2035.7,1270.2,1812.9,1685.4,1564.1,1559.8,1523.7,1918.2,1851.9,1861.8,1779.2,1860.5,2014.9,1621.8,1469.8,2487.0,1356.7,1610.1,14.1,1749.6,7.4,1956.1,1758.5,2296.6,2350.5,1762.5,1797.0,1719.6,2013.2,1658.4,1967.0,2054.4,2260.7,897.5,2169.3,1692.8,1749.7,1960.7,2014.4,2054.4,1364.9,1780.8,1896.3,1559.5,2102.4,1874.6,1813.9,1543.5,1148.0,951.2,1751.4,1156.9,2320.9,1596.2,18.2,1930.3,1920.4,1025.5,1634.1,1208.9,2965.3,1705.7,1743.9,1792.7,1763.6,1527.1,1150.9,1030.3,1929.8,554.8,1879.0,915.5,2712.5,1964.9,1675.5,1569.6
C103,1160.9,1792.1,1595.7,1816.0,1686.5,1728.0,1312.8,839.7,1442.4,787.5,782.5,1255.5,1570.0,1321.9,1040.9,1362.5,1081.9,1361.1,1370.4,1760.6,976.2,1419.9,971.2,1047.1,1140.0,1343.9,1173.3,1291.8,762.5,1232.0,942.0,2550.2,1403.1,728.2,750.4,1256.9,213.5,1603.0,1047.2,1399.9,1436.9,1153.7,756.8,1015.5,1367.0,1209.9,1013.9,746.4,588.9,864.1,1938.9,1788.2,2048.2,1254.1,2675.2,760.1,992.6,943.5,405.2,2044.0,1562.7,880.0,305.4,1531.9,1683.1,1078.9,1964.4,776.2,1038.6,885.5,1904.3,2319.9,1389.7,1224.3,735.8,1198.0,1610.7,1126.9,1285.5,929.0,1608.7,1221.8,1594.9,1370.4,1386.6,2290.1,1718.9,767.2,1823.9,252.7,976.8,1606.7,406.7,246.6,1713.5,761.4,1181.8,1784.5,1151.6,1430.5,1307.5,495.9,2267.6,0.0,715.7,1719.7,1381.1,1072.7,1722.6,1613.0,1608.7,833.4,1239.5,1540.9,786.7,1828.1,737.3,579.8,1670.7,1518.7,360.1,1512.3,1659.0,2281.7,1695.0,2275.0,1887.4,1638.3,451.4,223.6,1416.8,1616.7,1662.7,660.3,1707.3,814.7,1465.7,133.8,1881.2,1853.3,1400.3,1156.8,1875.4,1589.6,1178.5,1515.2,1541.4,673.6,1608.4,906.6,1268.6,800.6,1304.9,1278.3,1798.2,1373.5,1919.3,475.7,1682.1,2285.8,814.3,794.8,2648.2,1580.3,1386.0,1151.0,1575.1,1792.8,1247.3,1583.3,1557.2,1273.1,1813.6,824.9,2311.8,1224.8,1869.5,898.2,913.1,1724.4,1618.5
C104,1655.0,2286.2,2089.8,1644.1,2180.6,2222.1,1806.9,235.9,1936.5,1281.6,1276.6,1749.6,2064.1,1816.0,1535.0,1856.6,1576.0,1855.2,1864.5,2254.7,1470.3,1914.0,413.0,1541.2,1634.1,1838.0,1667.4,1785.9,1256.6,1726.1,1436.1,2637.8,1897.2,1222.3,1244.5,1751.0,788.4,2097.1,1541.3,1894.0,1931.0,1647.8,1250.9,1509.6,1861.1,1704.0,410.1,1240.5,1083.0,1358.2,2433.0,2282.3,2542.3,1748.2,2762.8,1254.2,1486.7,1437.6,697.7,2208.9,2056.8,1374.1,730.9,2026.0,2177.2,1573.0,2136.5,1270.3,1532.7,1379.6,2398.4,2477.2,1883.8,1718.4,1229.9,1692.1,2104.8,1621.0,1779.6,1423.1,2102.8,1715.9,2089.0,1864.5,1880.7,2447.4,2213.0,1261.3,2318.0,827.6,1470.9,2100.8,900.8,821.5,2207.6,1255.5,1675.9,2278.6,1645.7,1924.6,1801.6,990.0,2424.9,746.2,0.0,2213.8,1875.2,1566.8,2216.7,2107.1,2102.8,1327.5,1733.6,2035.0,1280.8,2322.2,1231.4,1073.9,2164.8,2012.8,890.6,2006.4,2153.1,2439.0,2189.1,2432.3,2381.5,2132.4,945.5,798.5,1910.9,2110.8,2156.8,1154.4,2201.4,1308.8,1959.8,627.9,1709.3,2347.4,1894.4,1650.9,2369.5,2083.7,1672.6,2009.3,2035.5,1167.7,2102.5,1400.7,1762.7,1294.7,1799.0,1772.4,1626.3,1867.6,2413.4,969.8,2176.2,2443.1,1308.4,1288.9,2735.8,2074.4,1880.1,547.2,2069.2,2286.9,1741.4,2077.4,2051.3,1767.2,1641.7,1319.0,2399.4,1718.9,1697.6,309.4,1407.2,2218.5,2112.6
C105,1081.8,762.5,262.6,2105.3,261.7,636.0,482.5,2344.7,860.3,1111.4,1175.0,575.1,396.4,994.9,902.0,971.6,1128.8,869.7,1286.0,1040.3,1259.7,609.0,2476.2,855.7,1095.5,595.8,1087.9,1087.7,1155.0,1142.6,831.3,2333.8,425.9,1054.4,1066.5,1255.6,1741.2,312.8,1291.5,651.8,478.0,1171.6,1250.7,1221.8,980.4,1047.3,2518.9,1301.9,1834.9,2110.1,793.7,950.2,939.0,992.2,2458.8,1288.2,1167.7,1192.6,1910.2,1827.6,944.9,1278.1,1833.1,812.5,1114.0,861.9,1748.0,1531.4,1140.1,1441.8,1372.5,2103.5,641.6,1088.1,1128.3,1057.2,1040.7,795.4,1070.6,1436.5,685.8,818.5,977.1,563.1,961.2,2073.7,922.8,1148.3,658.0,1780.4,1195.1,433.1,1652.7,1774.3,993.2,1108.3,1082.9,798.3,1043.5,897.7,574.7,1741.9,2051.2,1759.7,2220.7,0.0,972.5,868.1,635.0,577.5,888.4,1327.2,497.4,517.5,1064.9,915.3,1492.5,1335.0,620.5,814.7,1887.8,892.8,938.7,2065.3,555.7,2058.6,721.5,505.3,1697.4,1751.3,897.5,435.1,594.5,1164.3,987.0,1031.4,383.2,1661.5,1974.9,133.6,677.8,934.6,709.5,256.5,620.3,895.6,649.7,1426.8,733.1,1023.9,662.0,1555.8,933.4,984.5,2028.6,872.0,1702.9,1721.7,1073.2,2069.4,1003.0,1054.8,2431.8,537.5,951.5,2656.0,594.8,821.5,745.0,395.2,673.1,1046.5,2107.7,1005.4,2095.4,785.5,1992.9,2403.2,966.8,1004.1,1086.7
C106,334.6,651.8,824.1,1291.7,834.4,587.7,998.7,1983.0,226.5,829.0,736.3,1069.2,805.5,181.3,661.6,65.8,344.6,563.6,1116.4,622.3,495.3,775.9,2114.5,647.6,385.2,751.5,311.7,268.3,816.2,354.1,847.6,1520.2,1031.6,816.9,950.6,467.1,1379.5,798.5,477.9,629.6,850.4,357.4,933.3,439.9,202.6,241.8,2157.2,835.8,1473.2,1748.4,804.7,649.9,973.5,118.3,1645.2,822.1,500.6,428.2,1548.5,1014.0,331.9,513.7,1471.4,495.6,538.3,751.8,934.4,828.6,363.7,640.0,759.5,1289.9,736.7,303.9,789.5,237.7,291.1,727.4,257.0,970.4,468.4,606.8,364.1,780.0,102.0,1260.1,580.6,1028.9,817.8,1418.7,430.7,842.2,1291.0,1412.6,575.2,988.9,232.6,646.2,294.7,671.3,737.1,1380.2,1237.6,1398.0,1859.0,944.3,0.0,745.6,594.0,472.7,470.4,562.8,826.8,760.5,831.8,689.8,899.6,1054.0,530.4,515.5,1526.1,197.6,520.7,1251.7,658.2,1245.0,864.7,667.1,1335.7,1389.6,671.1,705.6,628.2,1048.4,569.0,915.5,963.0,1299.8,1161.3,1077.9,601.4,682.4,869.3,923.0,987.1,210.7,689.4,935.4,468.1,1074.4,807.3,853.0,455.9,202.6,1215.0,660.0,889.3,1360.0,460.2,1255.8,887.1,896.4,1618.2,542.7,206.3,2294.3,614.3,654.5,725.4,672.2,435.7,227.1,1294.1,889.5,1281.8,811.7,1179.3,2041.5,901.7,586.1,473.7
C107,671.8,830.3,750.0,1886.7,830.2,766.2,470.8,1687.1,868.1,453.8,507.2,474.0,693.7,791.7,130.7,756.1,686.3,456.6,628.4,1048.1,661.6,498.6,1818.6,105.5,472.7,429.2,689.0,853.3,497.4,964.5,333.5,2115.2,569.1,396.8,408.9,1039.0,1083.6,726.7,853.9,452.2,571.9,859.4,593.1,719.9,722.9,580.2,1861.3,598.1,1177.3,1452.5,983.2,1065.5,1132.9,647.4,2240.2,584.4,491.9,632.2,1252.6,1609.0,952.7,610.8,1175.5,716.8,1121.8,6.2,1529.4,831.1,585.1,832.4,1366.0,1884.9,468.4,776.4,470.7,688.6,1004.3,99.8,867.4,732.7,646.9,250.0,984.9,500.5,780.2,1855.1,1006.4,490.7,908.6,1122.8,634.7,730.4,995.1,1116.7,1001.0,450.7,621.6,866.1,563.8,515.9,318.5,1084.3,1832.6,1102.1,1563.1,874.0,816.0,0.0,772.5,659.2,896.2,652.5,397.5,625.6,407.3,1030.6,803.4,677.4,708.9,773.0,1230.2,900.6,946.5,1846.7,779.7,1840.0,972.1,723.0,1039.8,1093.7,502.2,701.4,747.4,506.7,994.8,373.8,621.0,1003.9,1756.3,1007.6,419.6,219.7,960.1,743.9,368.4,903.4,620.1,723.0,682.7,532.7,276.4,855.5,545.0,738.3,1810.0,458.9,1484.3,1064.1,1081.0,1850.8,345.4,397.2,2213.2,665.0,854.1,1998.4,660.3,889.3,275.5,668.0,585.4,783.4,1889.1,347.8,1876.8,224.3,1774.3,1745.6,360.0,1011.9,1080.2
C108,713.0,207.6,471.7,1736.5,500.3,86.5,691.6,2318.6,491.5,1085.3,1075.4,784.2,413.1,626.1,778.8,602.8,760.0,601.7,1259.9,671.5,890.9,410.4,2450.1,744.1,744.5,440.0,719.1,718.9,1128.9,773.8,977.0,1965.0,713.9,1028.3,1040.4,886.8,1715.1,446.1,922.7,410.1,434.9,802.8,1224.6,853.0,611.6,678.5,2492.8,1166.3,1808.8,2084.0,266.6,348.9,616.4,623.4,2090.0,1152.6,840.7,823.8,1884.1,1458.8,576.1,909.3,1807.0,443.7,699.8,772.4,1379.2,1224.2,771.3,1073.0,1003.7,1734.7,428.8,719.3,1102.2,688.4,671.9,699.2,701.8,1300.9,193.1,625.2,608.3,364.5,592.4,1704.9,321.5,1122.2,384.9,1754.3,826.3,449.8,1626.6,1748.2,624.4,1082.2,714.1,263.8,674.7,520.0,474.7,1715.8,1682.4,1733.6,2194.6,610.2,603.7,778.6,0.0,170.9,401.2,958.4,509.4,345.0,1038.8,314.0,1295.2,1308.9,147.1,334.9,1861.7,524.0,557.5,1696.5,216.3,1689.8,301.8,244.9,1671.3,1725.2,519.8,371.5,66.6,1138.2,605.8,1005.3,547.5,1635.4,1606.1,743.8,371.9,794.3,386.6,588.9,806.2,526.8,294.6,1291.2,329.9,1164.2,565.8,1248.6,564.6,615.7,1659.8,508.7,1334.1,1695.6,704.4,1700.6,976.9,1028.7,2063.0,127.2,582.7,2629.9,194.8,287.0,574.8,338.1,231.1,677.7,1738.9,979.3,1726.6,675.9,1624.1,2377.1,991.5,635.3,717.9
