,DEPOT,C001,C002,C003,C004,C005,C006,C007,C008,C009,C010,C011,C012,C013,C014,C015,C016,C017,C018,C019,C020,C021,C022,C023,C024,C025,C026,C027,C028,C029,C030,C031,C032,C033,C034,C035,C036,C037,C038,C039,C040,C041,C042,C043,C044,C045,C046,C047,C048,C049,C050,EVS01816,EVS03706,EVS01192,EVS00826,EVS01689,EVS04365,EVS01245,EVS02923,EVS02443,EVS00810,EVS00552,EVS04298,EVS04889,EVS02893,EVS04734,EVS01509,EVS02225,EVS04773,EVS01283,EVS02094,EVS03684,EVS04400,EVS00534,EVS02556,EVS01342,EVS03542,EVS02273,EVS03776,EVS04293,EVS00405
C037,954.3,635.0,43.7,1977.8,298.8,508.5,403.1,2265.3,732.8,1032.0,1095.6,495.7,132.8,867.4,819.5,844.1,1001.3,772.7,1206.6,912.8,1132.2,413.4,2396.8,761.2,985.8,443.0,960.4,960.2,1075.6,1015.1,751.9,2206.3,346.5,975.0,987.1,1128.1,1661.8,0.0,1164.0,551.9,229.6,1044.1,1171.3,1094.3,852.9,919.8,2439.5,1222.5,1755.5,2030.7,666.2,1470.3,805.9,857.0,1901.1,758.9,1575.4,1642.3,945.7,1941.9,923.6,975.4,2304.3,347.8,824.0,2576.6,405.1,694.0,648.0,267.7,545.6,919.0,1980.2,926.0,1967.9,688.5,1865.4,2323.8,887.4,876.6,959.2
C038,422.9,990.9,1163.2,1322.3,1173.5,926.8,1218.8,1705.1,592.0,595.0,458.4,1161.5,1144.6,351.8,809.0,537.4,322.1,822.7,1228.4,959.4,372.4,1115.0,1836.6,795.0,547.4,1090.6,433.8,347.5,538.3,232.6,848.0,1550.8,1309.1,634.2,707.4,260.5,1101.6,1137.6,0.0,968.7,1189.5,188.9,655.4,290.0,562.2,516.9,1879.3,557.9,1195.3,1470.5,1143.8,575.1,747.7,395.7,1245.6,924.3,919.9,1082.1,825.7,1286.4,723.6,700.8,1648.8,881.8,430.7,2016.4,953.4,991.6,948.7,1011.3,774.8,398.6,1324.7,730.9,1312.4,972.7,1209.9,1763.6,833.4,923.2,817.3
C039,754.2,499.7,537.8,1777.7,620.4,388.5,409.3,2021.8,532.7,788.5,780.9,517.1,483.9,667.3,467.0,644.0,801.2,408.4,963.1,712.7,909.0,209.5,2153.3,408.7,646.0,151.0,760.3,760.1,832.1,815.0,680.2,2006.2,432.6,731.5,743.6,928.0,1418.3,516.9,963.9,0.0,354.8,844.0,927.8,894.2,652.8,725.9,2196.0,871.8,1512.0,1787.2,620.4,1117.8,544.2,656.9,1701.0,410.7,1375.3,1398.8,745.6,1741.8,680.1,731.9,2104.2,334.6,623.9,2333.1,310.1,558.7,283.7,458.2,244.5,718.9,1780.1,682.5,1767.8,336.0,1665.3,2080.3,694.7,676.5,759.1
C040,931.5,582.0,191.7,1955.0,369.0,460.9,317.7,2113.1,710.0,879.8,943.4,410.3,133.1,844.6,661.2,821.3,978.5,614.4,1054.4,890.0,1103.2,267.9,2244.6,602.9,840.2,284.7,937.6,937.4,923.4,992.3,666.5,2183.5,340.0,822.8,834.9,1105.3,1509.6,166.1,1141.2,386.2,0.0,1021.3,1019.1,1071.5,830.1,897.0,2287.3,1066.0,1603.3,1878.5,641.0,1312.0,750.2,834.2,1878.3,616.7,1552.6,1490.1,922.9,1919.1,771.4,823.2,2281.5,282.4,801.2,2424.4,339.7,661.4,489.7,301.1,522.8,896.2,1957.4,773.8,1945.1,530.2,1842.6,2171.6,786.0,853.8,936.4
C041,301.4,821.5,993.8,1265.4,1004.1,757.4,1168.4,1788.6,408.4,674.9,541.9,1156.7,975.2,168.2,749.1,367.3,200.6,739.9,1168.5,792.0,306.4,945.6,1920.1,735.1,464.6,921.2,312.3,183.5,621.8,269.2,884.0,1493.9,1201.3,662.8,790.9,310.4,1185.1,968.2,194.1,799.3,1020.1,0.0,738.9,168.8,384.8,395.4,1962.8,641.4,1278.8,1554.0,974.4,658.6,626.2,269.3,1188.7,829.7,863.0,1165.6,642.1,1229.5,752.2,742.3,1591.9,712.4,254.8,2099.9,784.0,824.2,865.9,841.9,605.4,261.4,1267.8,760.3,1255.5,912.8,1153.0,1847.1,869.4,755.8,655.6
C042,748.3,1288.8,1115.4,1909.1,1206.2,1224.7,832.5,1411.5,1029.8,264.3,234.4,775.2,1089.7,909.3,560.6,949.9,669.3,823.1,904.4,1348.0,569.0,939.6,1543.0,566.8,684.1,863.6,760.7,879.2,214.4,819.4,461.7,2137.6,922.8,247.9,287.7,844.3,808.0,1122.7,641.0,919.6,956.6,741.1,0.0,602.9,954.4,797.3,1585.7,361.3,901.7,1176.9,1441.7,622.6,785.0,865.7,1832.4,825.4,1506.7,788.5,1269.5,1873.2,336.4,283.5,2235.6,1100.0,973.4,1722.8,1094.8,1347.8,767.0,1103.0,1068.2,860.5,1911.5,337.0,1899.2,744.5,1796.7,1470.0,447.1,1311.8,1205.9
C043,277.6,950.7,1123.0,1406.7,1133.3,886.6,1145.3,1675.4,549.7,565.3,428.7,1088.9,1104.4,309.5,681.3,437.8,176.8,706.4,1100.7,919.2,225.5,1074.8,1806.9,667.3,431.1,1050.4,288.5,299.9,508.6,330.4,816.2,1635.2,1219.9,598.8,677.7,350.9,1071.9,1097.4,185.1,928.5,1149.3,141.3,625.7,0.0,462.6,371.6,1849.6,528.2,1165.6,1440.8,1103.6,545.4,602.4,296.1,1330.0,808.0,1004.3,1052.4,783.4,1370.8,688.2,671.1,1733.2,841.6,396.1,1986.7,913.2,951.4,829.1,971.1,734.6,290.9,1409.1,691.8,1396.8,845.0,1294.3,1733.9,801.6,883.0,777.1
C044,317.5,665.5,837.8,1333.8,848.1,601.4,1012.4,1965.9,334.4,808.8,719.2,1049.0,819.2,228.0,641.4,140.2,327.4,515.2,1096.2,634.0,478.2,789.6,2097.4,627.4,368.1,765.2,294.6,322.5,799.1,400.8,827.4,1562.3,1045.3,796.7,930.4,513.8,1362.4,812.2,524.6,643.3,864.1,404.7,916.2,422.8,0.0,224.7,2140.1,818.7,1456.1,1731.3,818.4,835.9,407.5,185.4,1257.1,616.8,931.4,1342.9,568.1,1297.9,866.9,876.2,1660.3,556.4,290.4,2277.2,628.0,666.2,680.0,685.9,449.4,270.7,1336.2,869.3,1323.9,791.5,1221.4,2024.4,881.5,597.8,533.7
C045,165.9,749.7,924.0,1380.6,934.3,670.9,878.0,1838.3,443.0,643.5,583.4,883.7,905.4,285.6,476.1,288.0,214.8,402.1,930.9,761.2,350.6,833.5,1969.8,462.1,230.8,764.8,183.0,347.2,663.3,458.4,662.1,1609.1,946.8,631.4,765.1,571.4,1234.8,898.4,482.4,748.2,906.8,389.1,780.4,318.0,285.4,0.0,2012.5,674.3,1328.5,1603.7,902.6,708.3,289.3,232.2,1303.9,503.7,978.2,1215.3,682.7,1344.7,701.6,710.9,1707.1,642.6,348.0,2149.6,714.2,793.4,539.9,772.1,550.9,277.3,1383.0,704.0,1370.7,626.2,1268.2,1896.8,716.2,725.0,619.1
C046,1975.8,2607.0,2410.6,1964.9,2501.4,2542.9,2127.7,332.9,2257.3,1602.4,1597.4,2070.4,2384.9,2136.8,1855.8,2177.4,1896.8,2176.0,2185.3,2575.5,1791.1,2234.8,733.8,1862.0,1954.9,2158.8,1988.2,2106.7,1577.4,2046.9,1756.9,2958.6,2218.0,1543.1,1565.3,2071.8,1109.2,2417.9,1862.1,2214.8,2251.8,1968.6,1571.7,1830.4,2181.9,2024.8,0.0,1561.3,1403.8,1679.0,2753.8,1615.5,2119.8,2093.2,1947.1,2188.4,2734.2,1290.6,2497.0,2763.9,1629.2,1609.7,3056.6,2395.2,2200.9,355.3,2390.0,2607.7,2062.2,2398.2,2372.1,2088.0,1962.5,1639.8,2720.2,2039.7,2018.4,641.2,1728.0,2539.3,2433.4
C047,637.4,1169.2,1187.8,1798.2,1278.6,1105.1,904.9,1322.1,918.9,281.1,144.5,847.6,1150.4,798.4,513.9,839.0,558.4,703.5,933.3,1237.1,458.1,955.3,1453.6,499.9,564.5,886.6,649.8,768.3,224.4,708.5,534.1,2026.7,995.2,320.3,393.5,733.4,718.6,1183.4,530.1,886.3,1028.6,630.2,341.5,492.0,843.3,686.4,1496.3,0.0,812.3,1087.5,1322.1,268.6,665.4,754.8,1721.5,705.8,1395.8,699.1,1158.6,1762.3,409.7,386.9,2124.7,1068.1,862.5,1633.4,1104.7,1228.2,661.7,1124.7,948.6,749.6,1800.6,417.0,1788.3,677.6,1685.8,1380.6,519.5,1200.9,1095.0
C048,1275.8,1907.0,1710.6,2152.3,1801.4,1842.9,1427.7,1176.0,1557.3,902.4,897.4,1370.4,1684.9,1436.8,1155.8,1477.4,1196.8,1476.0,1485.3,1875.5,1091.1,1534.8,1307.5,1162.0,1254.9,1458.8,1288.2,1406.7,877.4,1346.9,1056.9,2665.1,1518.0,843.1,865.3,1371.8,481.8,1717.9,1162.1,1514.8,1551.8,1268.6,871.7,1130.4,1481.9,1324.8,1350.2,861.3,0.0,819.0,2053.8,915.5,1419.8,1393.2,2134.5,1488.4,2034.2,430.6,1797.0,2400.7,929.2,909.7,2763.1,1695.2,1500.9,1487.3,1690.0,1907.7,1362.2,1698.2,1672.1,1388.0,2149.9,939.8,2426.7,1339.7,2205.8,1234.5,1028.0,1839.3,1733.4
C049,1004.5,1635.7,1439.3,1939.7,1530.1,1571.6,1156.4,963.4,1286.0,631.1,626.1,1099.1,1413.6,1165.5,884.5,1206.1,925.5,1204.7,1214.0,1604.2,819.8,1263.5,1094.9,890.7,983.6,1187.5,1016.9,1135.4,606.1,1075.6,785.6,2393.8,1246.7,571.8,594.0,1100.5,359.9,1446.6,890.8,1243.5,1280.5,997.3,600.4,859.1,1210.6,1053.5,1137.6,590.0,445.5,0.0,1782.5,644.2,1148.5,1121.9,1921.9,1217.1,1762.9,332.3,1525.7,2129.4,657.9,638.4,2491.8,1423.9,1229.6,1274.7,1418.7,1636.4,1090.9,1426.9,1400.8,1116.7,1937.3,668.5,2155.4,1068.4,1993.2,1021.9,756.7,1568.0,1462.1
C050,900.0,217.0,703.0,1923.7,713.3,266.1,938.9,2565.6,683.7,1324.6,1264.5,1031.5,660.4,818.3,979.8,795.0,947.0,790.8,1484.4,667.4,1077.9,657.7,2697.1,945.1,933.6,687.3,906.1,905.9,1344.4,966.0,1215.6,2152.2,961.2,1275.6,1287.7,1079.0,1962.1,677.4,1114.9,630.8,682.2,995.0,1461.5,1040.0,798.6,867.6,2739.8,1355.4,2055.8,2331.0,0.0,1435.6,753.7,802.7,1847.0,688.3,1521.3,1942.6,896.6,1887.8,1224.2,1276.0,2250.2,374.5,774.9,2876.9,442.1,264.2,780.3,551.1,440.7,864.7,1926.1,1226.6,1913.8,896.6,1811.3,2624.1,1238.8,631.2,862.5
EVS01816,653.4,1284.6,1372.9,1814.2,1463.7,1220.5,1090.0,1312.6,934.9,545.4,408.8,1032.7,1347.2,814.4,768.8,855.0,574.4,853.6,1161.9,1253.1,468.7,1197.1,1444.1,754.8,632.5,1121.1,665.8,784.3,488.7,724.5,719.2,2042.7,1180.3,505.4,581.4,749.4,709.1,1380.2,539.7,1141.2,1214.1,646.2,534.0,508.0,859.5,702.4,1486.8,264.3,802.8,1078.0,1437.5,0.0,797.4,770.8,1737.5,934.7,1411.8,689.6,1174.6,1778.3,594.8,572.0,2140.7,1175.5,878.5,1623.9,1247.1,1285.3,916.6,1305.0,1068.5,765.6,1816.6,602.1,1804.3,932.5,1701.8,1371.1,704.6,1216.9,1111.0
EVS03706,399.9,613.7,788.0,1609.4,798.3,534.9,728.0,1904.4,484.7,637.1,577.0,846.3,769.4,517.3,469.7,438.7,448.8,193.8,924.5,808.3,500.0,647.6,2035.9,455.7,246.1,578.9,417.1,577.9,656.9,690.1,655.7,1837.9,760.9,625.0,758.7,803.1,1300.9,762.4,703.7,556.6,720.9,645.6,774.0,561.0,387.4,281.5,2078.6,667.9,1394.6,1669.8,766.6,796.7,0.0,461.0,1532.7,295.5,1207.0,1281.4,724.4,1573.5,695.2,704.5,1935.9,506.6,579.7,2215.7,578.2,672.7,371.7,636.1,414.9,508.0,1611.8,697.6,1599.5,516.2,1497.0,1962.9,709.8,772.1,660.8
EVS01192,231.4,694.6,866.9,1227.8,877.2,630.5,1026.4,1879.8,315.9,760.6,633.1,1032.1,848.3,142.0,624.5,141.7,221.4,552.0,1075.2,663.1,392.1,818.7,2011.3,610.5,282.0,794.3,211.9,234.6,713.0,314.0,806.4,1456.3,1074.4,748.5,882.1,427.0,1276.3,841.3,438.6,672.4,893.2,318.7,830.1,330.4,166.5,208.3,2054.0,732.6,1370.0,1645.2,847.5,749.8,439.1,0.0,1151.1,653.6,825.4,1256.8,549.6,1191.9,837.9,828.0,1554.3,585.5,189.0,2191.1,657.1,695.3,688.3,715.0,478.5,164.7,1230.2,844.8,1217.9,774.6,1115.4,1938.3,860.5,626.9,521.0
EVS00826,1167.5,1604.1,1776.4,284.9,1786.7,1540.0,1951.0,1911.0,1223.4,1694.7,1558.1,1997.4,1757.8,983.2,1589.8,1150.6,1167.0,1519.5,2040.5,1572.6,1345.4,1728.2,2042.5,1575.8,1247.3,1703.8,1173.6,1102.5,1638.0,1049.7,1771.7,1052.1,1983.9,1701.8,1807.1,1099.8,1976.1,1750.8,1194.5,1581.9,1802.7,1102.9,1755.1,1233.0,1175.4,1173.6,2085.2,1657.6,2270.7,2545.9,1757.0,1674.8,1404.4,1008.9,0.0,1612.3,1017.8,2157.5,1457.1,857.4,1791.2,1781.3,1150.1,1495.0,1069.8,2222.3,1566.6,1604.8,1653.6,1624.5,1388.0,1011.8,287.3,1790.7,813.7,1739.9,111.9,1969.5,1825.8,1536.4,1430.5
EVS01689,626.0,535.8,716.1,1818.6,726.4,471.7,622.9,1994.3,573.6,727.0,666.9,741.2,697.5,708.2,466.1,675.3,674.9,192.9,970.7,753.6,693.0,542.5,2125.8,431.4,426.9,473.8,643.2,801.0,746.8,855.9,701.9,2047.1,655.8,714.9,785.7,968.9,1390.8,690.5,899.7,451.5,615.8,856.1,863.9,757.0,639.4,523.4,2168.5,757.8,1484.5,1759.7,688.7,964.4,313.6,692.5,1741.9,0.0,1416.2,1371.3,786.5,1782.7,722.2,774.0,2145.1,434.7,664.8,2305.6,506.3,594.8,266.6,564.2,315.2,737.6,1821.0,724.6,1808.7,411.1,1706.2,2052.8,736.8,717.4,800.0
EVS04365,846.7,1283.3,1455.6,1271.6,1465.9,1219.2,1630.2,2484.0,902.6,1373.9,1237.3,1676.6,1437.0,662.4,1269.0,829.8,846.2,1198.7,1719.7,1251.8,1024.6,1407.4,2615.5,1255.0,926.5,1383.0,852.8,781.7,1317.2,728.9,1450.9,1500.1,1663.1,1381.0,1486.3,779.0,1880.5,1430.0,873.7,1261.1,1481.9,782.1,1434.3,912.2,854.6,852.8,2658.2,1336.8,1974.2,2249.4,1436.2,1354.0,1083.6,688.1,1194.9,1291.5,0.0,1861.0,1136.3,1235.7,1470.4,1460.5,1598.1,1174.2,749.0,2795.3,1245.8,1284.0,1332.8,1303.7,1067.2,691.0,1274.0,1469.9,1261.7,1419.1,1159.2,2542.5,1505.0,1215.6,1109.7
EVS01245,1155.4,1786.6,1590.2,2031.9,1681.0,1722.5,1307.3,1055.6,1436.9,782.0,777.0,1250.0,1564.5,1316.4,1035.4,1357.0,1076.4,1355.6,1364.9,1755.1,970.7,1414.4,1187.1,1041.6,1134.5,1338.4,1167.8,1286.3,757.0,1226.5,936.5,2544.7,1397.6,722.7,744.9,1251.4,452.1,1597.5,1041.7,1394.4,1431.4,1148.2,751.3,1010.0,1361.5,1204.4,1229.8,740.9,429.8,388.4,1933.4,795.1,1299.4,1272.8,2014.1,1368.0,1913.8,0.0,1676.6,2280.3,808.8,789.3,2642.7,1574.8,1380.5,1366.9,1569.6,1787.3,1241.8,1577.8,1551.7,1267.6,2029.5,819.4,2306.3,1219.3,2085.4,1114.1,907.6,1718.9,1613.0
EVS02923,634.0,751.8,924.1,1611.0,934.4,687.7,1098.7,2299.6,287.1,1180.4,1052.9,1217.2,905.5,500.6,1051.5,456.1,681.0,769.8,1507.0,617.0,811.9,875.9,2431.1,1016.8,713.8,851.5,640.1,639.9,1132.8,648.3,1238.2,1839.5,1131.6,1168.3,1301.9,761.3,1696.1,898.5,797.2,729.6,950.4,677.3,1249.9,774.0,567.0,640.1,2473.8,1152.4,1789.8,2065.0,904.7,1169.6,732.7,536.7,1534.3,760.0,1208.6,1676.6,0.0,1575.1,1257.7,1247.8,1937.5,642.7,457.2,2610.9,714.3,754.5,852.0,772.2,535.7,598.7,1613.4,1257.2,1601.1,996.5,1498.6,2358.1,1292.3,580.8,166.7
EVS02443,1324.8,1761.4,1933.7,1046.1,1944.0,1697.3,2108.3,2672.2,1380.7,1852.0,1715.4,2154.7,1915.1,1140.5,1747.1,1307.9,1324.3,1676.8,2197.8,1729.9,1502.7,1885.5,2803.7,1733.1,1404.6,1861.1,1330.9,1259.8,1795.3,1207.0,1929.0,945.7,2141.2,1859.1,1964.4,1257.1,2358.6,1908.1,1351.8,1739.2,1960.0,1260.2,1912.4,1390.3,1332.7,1330.9,2846.4,1814.9,2452.3,2727.5,1914.3,1832.1,1561.7,1166.2,969.4,1769.6,1175.1,2339.1,1614.4,0.0,1948.5,1938.6,1043.7,1652.3,1227.1,2983.5,1723.9,1762.1,1810.9,1781.8,1545.3,1169.1,1048.5,1948.0,573.0,1897.2,933.7,2730.7,1983.1,1693.7,1587.8
EVS00810,747.9,1101.5,895.1,1957.9,985.9,1037.4,612.2,1452.9,1029.4,212.2,283.2,554.9,869.4,919.7,340.3,915.5,668.9,727.8,639.5,1319.3,586.3,719.3,1584.4,346.5,603.5,643.3,760.3,871.3,263.2,868.2,241.4,2186.4,702.5,117.5,137.9,893.1,849.4,902.4,689.8,699.3,736.3,781.0,345.4,644.6,882.3,739.6,1627.1,410.1,943.1,1218.3,1238.3,664.0,704.4,865.3,1881.2,730.1,1555.5,829.9,1269.1,1922.0,0.0,82.7,2284.4,879.7,973.0,1764.2,874.5,1160.5,546.7,882.7,856.6,860.1,1960.3,27.7,1948.0,524.2,1845.5,1511.4,182.2,1283.1,1205.5
EVS00552,744.4,1144.3,937.9,1935.9,1028.7,1080.2,655.0,1430.9,1025.9,193.5,261.2,597.7,912.2,916.2,383.1,912.0,665.4,739.0,682.3,1344.1,582.8,762.1,1562.4,389.3,600.0,686.1,756.8,867.8,241.2,846.2,284.2,2164.4,745.3,114.0,136.7,871.1,827.4,945.2,667.8,742.1,779.1,767.9,291.5,629.7,878.8,736.1,1605.1,388.1,921.1,1196.3,1281.1,642.0,700.9,861.8,1859.2,741.3,1533.5,807.9,1265.6,1900.0,82.6,0.0,2262.4,922.5,969.5,1742.2,917.3,1203.3,589.5,925.5,899.4,856.6,1938.3,85.9,1926.0,567.0,1823.5,1489.4,225.0,1307.9,1202.0
EVS04298,1702.0,2138.6,2310.9,1361.8,2321.2,2074.5,2485.5,2987.9,1757.9,2229.2,2092.6,2531.9,2292.3,1517.7,2124.3,1685.1,1701.5,2054.0,2575.0,2107.1,1879.9,2262.7,3119.4,2110.3,1781.8,2238.3,1708.1,1637.0,2172.5,1584.2,2306.2,161.1,2518.4,2236.3,2341.6,1634.3,2735.8,2285.3,1729.0,2116.4,2337.2,1637.4,2289.6,1767.5,1709.9,1708.1,3162.1,2192.1,2829.5,3104.7,2291.5,2209.3,1938.9,1543.4,1285.1,2146.8,1552.3,2716.3,1991.6,1129.4,2325.7,2315.8,0.0,2029.5,1604.3,3299.2,2101.1,2139.3,2188.1,2159.0,1922.5,1546.3,1364.2,2325.2,956.8,2274.4,1249.4,3046.4,2360.3,2070.9,1965.0
EVS04889,724.7,316.7,344.5,1748.2,402.3,195.6,564.4,2191.4,503.2,958.1,1003.2,657.0,285.9,637.8,689.3,614.5,771.7,613.4,1132.7,683.2,902.6,283.2,2322.9,631.0,756.2,312.8,730.8,730.6,1001.7,785.5,849.8,1976.7,586.7,901.1,913.2,898.5,1587.9,318.9,934.4,384.0,307.7,814.5,1097.4,864.7,623.3,690.2,2365.6,1094.1,1681.6,1956.8,375.7,1260.3,576.3,627.4,1671.5,529.3,1345.8,1568.4,716.1,1712.3,849.7,901.5,2074.7,0.0,594.4,2502.7,89.5,396.1,517.8,240.1,311.5,689.4,1750.6,852.1,1738.3,558.3,1635.8,2249.9,864.3,647.0,729.6
EVS02893,387.1,697.1,869.4,1194.8,879.7,633.0,1044.0,1987.9,284.0,877.8,741.2,1162.5,850.8,139.0,791.2,296.7,386.6,718.7,1241.9,667.6,558.8,821.2,2119.4,777.2,448.7,796.8,378.6,313.7,821.1,219.9,973.1,1423.3,1076.9,915.2,990.2,332.9,1384.4,843.8,368.8,674.9,895.7,315.7,938.2,445.8,333.2,375.0,2162.1,840.7,1478.1,1753.3,850.0,857.9,605.8,228.5,1118.1,705.3,792.4,1364.9,517.7,1158.9,1004.6,983.6,1521.3,588.0,0.0,2299.2,659.6,699.8,797.3,717.5,481.0,231.4,1197.2,1010.3,1184.9,941.3,1082.4,2046.4,1027.2,631.4,531.2
EVS04734,2090.9,2722.1,2525.7,2080.0,2616.5,2658.0,2242.8,448.0,2372.4,1717.5,1712.5,2185.5,2500.0,2251.9,1970.9,2292.5,2011.9,2291.1,2300.4,2690.6,1906.2,2349.9,848.9,1977.1,2070.0,2273.9,2103.3,2221.8,1692.5,2162.0,1872.0,3073.7,2333.1,1658.2,1680.4,2186.9,1224.3,2533.0,1977.2,2329.9,2366.9,2083.7,1686.8,1945.5,2297.0,2139.9,327.1,1676.4,1518.9,1794.1,2868.9,1730.6,2234.9,2208.3,2062.2,2303.5,2849.3,1405.7,2612.1,2879.0,1744.3,1724.8,3171.7,2510.3,2316.0,0.0,2505.1,2722.8,2177.3,2513.3,2487.2,2203.1,2077.6,1754.9,2835.3,2154.8,2133.5,756.3,1843.1,2654.4,2548.5
EVS01509,804.4,398.5,401.8,1827.9,463.1,276.7,599.4,2207.7,582.9,974.4,998.4,702.2,343.2,717.5,687.1,694.2,851.4,604.3,1149.0,762.9,982.3,299.5,2339.2,647.3,834.8,329.1,810.5,810.3,1018.0,865.2,866.1,2056.4,622.7,917.4,929.5,978.2,1604.2,376.2,1014.1,314.9,365.0,894.2,1113.7,944.4,703.0,768.8,2381.9,1089.3,1697.9,1973.1,457.5,1335.3,654.9,707.1,1751.2,593.1,1425.5,1584.7,795.8,1792.0,866.0,917.8,2154.4,82.8,674.1,2519.0,0.0,462.2,479.6,300.9,313.8,769.1,1830.3,868.4,1818.0,574.6,1715.5,2266.2,880.6,726.7,809.3
EVS02225,795.1,172.4,696.3,1818.6,706.6,266.6,922.6,2460.7,573.6,1214.5,1154.4,1040.9,677.7,708.2,869.7,684.9,842.1,680.7,1374.3,559.0,973.0,621.5,2592.2,835.0,823.5,654.2,801.2,801.0,1234.3,855.9,1105.5,2047.1,955.5,1177.2,1189.3,968.9,1857.2,670.7,1004.8,553.5,707.8,884.9,1351.4,935.1,693.7,757.5,2634.9,1245.3,1950.9,2226.1,290.9,1330.7,643.6,697.8,1741.9,578.2,1416.2,1837.7,786.5,1782.7,1125.8,1177.6,2145.1,400.1,664.8,2772.0,464.0,0.0,670.2,544.4,333.4,759.8,1821.0,1128.2,1808.7,814.7,1706.2,2519.2,1140.4,522.8,754.1
EVS04773,620.6,554.8,624.7,1835.5,704.9,490.7,453.7,1888.8,592.6,655.5,602.3,566.1,568.4,727.2,291.0,671.6,669.5,181.1,795.6,772.6,696.3,373.3,2020.3,256.3,430.2,304.6,637.8,802.1,682.2,874.9,526.8,2064.0,486.6,598.5,610.6,987.9,1285.3,601.4,903.0,282.3,446.6,859.4,794.8,760.3,635.7,513.5,2063.0,693.2,1379.0,1654.2,707.7,928.4,316.9,687.1,1758.8,183.4,1433.1,1265.8,805.5,1799.6,547.1,598.9,2162.0,453.7,683.8,2200.1,489.0,613.8,0.0,542.7,309.9,732.2,1837.9,549.5,1825.6,236.0,1723.1,1947.3,561.7,736.4,804.7
EVS01283,793.0,473.7,272.4,1816.5,282.7,347.2,597.3,2228.4,571.5,995.1,1040.2,689.9,253.8,706.1,726.3,682.8,840.0,679.5,1169.7,751.5,970.9,320.2,2359.9,668.0,824.5,349.8,799.1,798.9,1038.7,853.8,886.8,2045.0,540.7,938.1,950.2,966.8,1624.9,246.8,1002.7,458.7,350.6,882.8,1134.4,933.0,691.6,758.5,2402.6,1131.1,1718.6,1993.8,504.9,1328.6,644.6,695.7,1739.8,597.6,1414.1,1605.4,784.4,1780.6,886.7,938.5,2143.0,248.7,662.7,2539.7,306.0,532.7,554.8,0.0,384.3,757.7,1818.9,889.1,1806.6,595.3,1704.1,2286.9,901.3,715.3,797.9
EVS02094,551.8,286.5,536.3,1575.3,546.6,193.7,608.4,2157.2,330.3,923.9,870.7,726.9,517.7,464.9,559.4,441.6,598.8,407.3,1064.0,510.3,729.7,427.5,2288.7,524.7,589.1,361.2,557.9,557.7,950.6,612.6,795.2,1803.8,641.3,866.9,879.0,725.6,1553.7,510.7,761.5,239.3,562.6,641.6,1063.2,691.8,450.4,523.1,2331.4,961.6,1647.4,1922.6,438.2,1087.4,409.2,454.5,1498.6,299.8,1172.9,1534.2,543.2,1539.4,815.5,867.3,1901.8,254.9,421.5,2468.5,304.0,345.5,359.9,384.4,0.0,516.5,1577.7,817.9,1565.4,504.4,1462.9,2215.7,830.1,474.1,556.7
EVS03684,220.0,686.7,859.0,1265.3,869.3,622.6,1033.6,1880.4,337.0,761.2,633.7,1039.3,840.4,202.4,631.7,213.6,182.1,559.9,1082.4,655.2,392.7,810.8,2011.9,617.7,289.2,786.4,196.9,195.3,713.6,351.5,813.6,1493.8,1066.5,749.1,882.7,464.5,1276.9,833.4,402.4,664.5,885.3,284.4,830.7,291.1,217.2,215.5,2054.6,733.2,1370.6,1645.8,839.6,750.4,446.3,116.9,1188.6,661.5,862.9,1257.4,576.7,1229.4,838.5,828.6,1591.8,577.6,264.8,2191.7,649.2,687.4,695.5,707.1,470.6,0.0,1267.7,846.6,1255.4,781.8,1152.9,1938.9,867.7,619.0,513.1
EVS04400,1358.2,1794.8,1967.1,159.9,1977.4,1730.7,2141.7,1845.3,1414.1,1885.4,1748.8,2188.1,1948.5,1173.9,1780.5,1341.3,1357.7,1710.2,2231.2,1763.3,1536.1,1918.9,1976.8,1766.5,1438.0,1894.5,1364.3,1293.2,1828.7,1240.4,1962.4,1242.8,2174.6,1892.5,1997.8,1290.5,1910.4,1941.5,1385.2,1772.6,1993.4,1293.6,1945.8,1423.7,1366.1,1364.3,2019.5,1848.3,2205.0,2480.2,1947.7,1865.5,1595.1,1199.6,286.6,1803.0,1208.5,2091.8,1647.8,1048.1,1981.9,1972.0,1340.8,1685.7,1260.5,2156.6,1757.3,1795.5,1844.3,1815.2,1578.7,1202.5,0.0,1981.4,1004.4,1930.6,302.6,1903.8,2016.5,1727.1,1621.2
EVS00534,743.4,1138.5,932.1,1959.1,1022.9,1074.4,649.2,1454.1,1024.9,213.4,284.4,591.9,906.4,915.2,377.3,908.9,670.1,735.9,676.5,1343.1,587.5,756.3,1585.6,383.5,596.9,680.3,755.8,872.5,264.4,869.4,278.4,2187.6,739.5,114.4,156.1,894.3,850.6,939.4,691.0,736.3,773.3,782.2,346.0,645.8,875.7,733.0,1628.3,411.3,944.3,1219.5,1275.3,665.2,697.8,866.5,1882.4,738.2,1556.7,831.1,1264.6,1923.2,27.7,83.9,2285.6,916.7,968.5,1765.4,911.5,1197.5,583.7,919.7,893.6,861.3,1961.5,0.0,1949.2,561.2,1846.7,1512.6,182.0,1306.9,1201.0
